objectid,filename,title,director,date,description,starring,subject,distributor,location,latitude,longitude,format,language,rights
item1,afterhours.jpg,After Hours,"Scorsese, Martin",1985,"After a boring day at work, Paul experiences the worst night of his life.","Dunne, Griffin; Robinson, Amy; Colesberry, Robert F.",black comedy; neo-noir; thriller; surrealist,The Geffen Company,"New York City, New York",40.71973,-74.00064,image/jpeg,eng,"This image is used for educational purposes under the fair dealing provisions of the Canadian Copyright Act. It is not used for commercial gain, and all rights remain with the original copyright owner."
item2,beautravail.jpg,Beau Travail,"Denis, Claire",1999,"Ex-Foreign Legion officer Galoup reflects on his formerly triumphant life leading troops in the Gulf of Djibouti.","Lavant, Denis; Subor, Michel; Colin, Gregoire",drama; postcolonialism; desire; masculinity,Pyramide Distribution,"Arta Region, Djibouti",11.5725,42.61788,image/jpeg,fra,"This image is used for educational purposes under the fair dealing provisions of the Canadian Copyright Act. It is not used for commercial gain, and all rights remain with the original copyright owner."
item3,blueheron.jpg,Blue Heron,"Romvari, Sophy",2025,"In the late 1990s, a family of six moves to their new home on Vancouver Island and tensions begin to surface.","Guven, Eylul; Zimmer, Amy; Beddoes, Edik",drama; memory; family; grief; meta-documentary,Blue Fox Entertainment,"Nanaimo, British Columbia",49.200419,-123.974572,image/jpeg,eng; hun,"This image is used for educational purposes under the fair dealing provisions of the Canadian Copyright Act. It is not used for commercial gain, and all rights remain with the original copyright owner."
item4,daysofheaven.jpg,Days of Heaven,"Malick, Terrence",1978,"After a fatal fight, a Chicago steelworker flees west with his girlfriend and young sister, labouring in vast wheat fields for a wealthy farmer.","Gere, Richard; Adams, Brooke; Shepard, Sam; Manz, Linda",historical drama; class; romance; desire,Paramount Pictures,"Cardston County, Alberta",49.118291,-113.361511,image/jpeg,eng,"This image is used for educational purposes under the fair dealing provisions of the Canadian Copyright Act. It is not used for commercial gain, and all rights remain with the original copyright owner."
item5,firstreformed.jpg,First Reformed,"Schrader, Paul",2017,"A pastor of a small congregation in upstate New York grapples with faith and despair after an encounter with an environmental activist and his pregnant wife.","Hawke, Ethan; Seyfried, Amanda; Kyles, Cedric",drama; thriller; faith; nihilism; environmental catastrophe,A24; Universal Pictures,"Queens, New York",40.766671,-73.743564,image/jpeg,eng,"This image is used for educational purposes under the fair dealing provisions of the Canadian Copyright Act. It is not used for commercial gain, and all rights remain with the original copyright owner."
item6,funeralparade.jpg,Funeral Parade of Roses,"Matsumoto, Toshio",1969,"Eddie explores the underground and queer subcultures of 1960s Tokyo, subverting the Greek tragedy of Oedipus.",Peter; Ogasawara Osamu; Tsuchiya Yoshio,psychological drama; queer culture; identity; Greek tragedy,Art Theatre Guild,"Tokyo, Japan",35.695298,139.702124,image/jpeg,jpn,"This image is used for educational purposes under the fair dealing provisions of the Canadian Copyright Act. It is not used for commercial gain, and all rights remain with the original copyright owner."
item7,gleaners.jpg,The Gleaners and I,"Varda, Agnes",2000,"A documentary exploring the subject of gleaning, or the gathering of leftover crops from a field after the main harvest.","Varda, Agnes; Litnanski, Bodan; Wertheimer, Francois",documentary; gleaning; rural-urban; filmmaking,Ciné-Tamaris; Zeitgeist Films,"Paris, France",48.841646,2.323784,image/jpeg,fra,"This image is used for educational purposes under the fair dealing provisions of the Canadian Copyright Act. It is not used for commercial gain, and all rights remain with the original copyright owner."
item8,haroldandmaude.jpg,Harold and Maude,"Ashby, Hal",1971,"Harold, obsessed with death, develops a friendship and eventual relationship with Maude, who teaches him about the importance of living.","Gordon, Ruth; Cort, Bud",romance; black comedy; drama; mortality; human connection,Paramount Pictures,"Bay Area, California",37.5569,-122.372074,image/jpeg,eng,"This image is used for educational purposes under the fair dealing provisions of the Canadian Copyright Act. It is not used for commercial gain, and all rights remain with the original copyright owner."
item9,joyland.jpg,Joyland,"Sadiq, Saim",2022,"Upending his traditional, patriarchal family, Haider lands a job at a burlesque theatre as a backup dancer to Biba, with whom he falls in love.","Junejo, Ali; Khan, Alina; Farooq, Rasti",drama; queer culture; identity; desire; family,Film Constellation,"Lahore, Pakistan",31.564551,74.330527,image/jpeg,pan; urd,"This image is used for educational purposes under the fair dealing provisions of the Canadian Copyright Act. It is not used for commercial gain, and all rights remain with the original copyright owner."
item10,parisisburning.jpg,Paris Is Burning,"Livingston, Jennie",1990,"A documentary exploring Harlem’s Black and Latinx drag-ball scene during the 1980s.","Corey, Dorian; LaBeija, Pepper; Xtravaganza, Venus; St. Laurent, Octavia",documentary; queer culture; identity; gender; community; human connection; class ,Off-White Productions,"New York City, New York",40.811141,-73.946068,image/jpeg,eng,"This image is used for educational purposes under the fair dealing provisions of the Canadian Copyright Act. It is not used for commercial gain, and all rights remain with the original copyright owner."
item11,pekingoperablues.jpg,Peking Opera Blues,"Hark, Tsui",1986,"In 1913 Beijing, three women set out on a quest to steal a valuable document while challenging societal norms against a backdrop of political unrest and the dazzling world of Peking Opera. ","Lin, Brigitte; Chung, Cherie; Yeh, Sally",action; comedy; social satire; revolution,Golden Princess Film Production,"Kowloon, Hong Kong",22.3184,114.1685,image/jpeg,chi,"This image is used for educational purposes under the fair dealing provisions of the Canadian Copyright Act. It is not used for commercial gain, and all rights remain with the original copyright owner."
item12,souvenirpart2.jpg,The Souvenir Part II,"Hogg, Joanna",2021,"In the aftermath of a turbulent relationship, Julie processes her grief and the uncertainty of memory while completing her thesis project in film school.","Byrne, Honor Swinton; Swinton, Tilda",drama; memory; grief; filmmaking,A24; Picturehouse Entertainment,"Norfolk, England",52.786,0.7353,image/jpeg,eng,"This image is used for educational purposes under the fair dealing provisions of the Canadian Copyright Act. It is not used for commercial gain, and all rights remain with the original copyright owner."
item13,tampopo.jpg,Tampopo,"Itami, Juzo",1985,"A ramen shop owner is determined to transform it into the best in the city.","Yamazaki, Tsutomu; Miyamoto, Nobuko; Yakusho, Koji",comedy; food; human connection; social satire,Toho,"Tokyo, Japan",35.63606,139.746773,image/jpeg,jpn,"This image is used for educational purposes under the fair dealing provisions of the Canadian Copyright Act. It is not used for commercial gain, and all rights remain with the original copyright owner."
item14,tasteofcherry.jpg,Taste of Cherry,"Kiarostami, Abbas",1997,"A man drives through a city suburb in search of someone willing to bury him.","Ershadi, Homayoun",drama; mortality; human connection,Artificial Eye,"Tehran, Iran",35.824022,51.425617,image/jpeg,per,"This image is used for educational purposes under the fair dealing provisions of the Canadian Copyright Act. It is not used for commercial gain, and all rights remain with the original copyright owner."
item15,ytumamatambien.jpg,Y Tu Mamá También,"Cuarón, Alfonso",2001,"Two teenage boys and a woman take a road trip.","Verdu, Maribel; Bernal, Gael Garcia; Luna, Diego",coming-of-age; class; mortality; sexuality,20th Century Fox,"Oaxaca, Mexico",15.726831,-96.157031,image/jpeg,spa,"This image is used for educational purposes under the fair dealing provisions of the Canadian Copyright Act. It is not used for commercial gain, and all rights remain with the original copyright owner."
